Abbr,Term
3M,The Minnesota Mining and Manufacturing Company
A&W,Allen and Wright (founders Roy Allen and Frank Wright)
ABC,American Broadcasting Corporation
ACLU,American Civil Liberties Union
ADB,Asian Development Bank
AIIB,Asian Infrastructure Investment Bank
ASEAN,Association of South East Nations
AT&T,American Telephone and Telegraph Company
ATF,"US Alcohol, Tobacco, Firearms and Explosives Bureau"
BMW, Bavarian Motor Works
BND,Bundesnachrichtendienst (Germany)
BVD, Bradley, Voorhees, and Day
CERN,European Organization for Nuclear Research
CIA,US Central Intelligence Agency
CDC,U.S. Centers for Disease Control and Prevention
DHS,US Department of Homeland
DOC,US Department of Commerce
DOD,US Department of Defense
DOE,US Department of Energy
DOI,US Department of the Interior
DOJ,US Department of Justice
DOL,US Department of Labor
DOS,US Department of State
DOT,USDepartment of Transportation
EASA,European Aviation Safety Agency
ED,US Department of Education
ESA,European Space Agency
ESPN, Entertainment and Sports Programming Network
FBI,US Federal Bureau of Investigation
GEICO, Government Employees Insurance Company
H&M, Hennes and Mauritz
HHS,United States Department of Health and Human Services
HSBC, Hongkong and Shanghai Banking Corporation
HUD,United States Department of Housing and Urban Development
IBM, International Business Machines
ICI,Imperial Chemical Industries
IMF,International Monetary Fund
ISO,International Organization for Standardization
J&J,Johnson & Johnson
JBL, James Bullough Lansing
JPL, NASA Jet Propulsion Laboratory
L.L. Bean, Leon Leonwood Bean
LBA,Luftfahrtbundesamt (German aviation agency)
M&M, Mars & Murrie’s
MIT,Massachusetts Institute of Technology
NASA,National Aeronautics and Space Administration
NATO,North Atlantic Treaty Organization
NBC,National Broadcasting Company
NIST,US National Institute of Standards and Technology
NORAD,North American Aerospace Defense Command (formerly North American Air Defense Command)
NSA,US National Security Agency
OECD,Organization for Economic Cooperation & Development
SAARC,South Asian Association for Regional Cooperation
TREAS,US Department of the Treasury
UN,United Nations Organization
UNESCO,United Nations Education Scientific & Cultural Organization
UNICEF,United Nations Children's Fund
USDA,United States Department of Agriculture
UPS, United Parcel Service
VA,US Department of Veterans Affairs
VW,Volkswagen
WEF,World Economic Forum
WHO,World Health Organization
WWF,World Wide Fund for Nature
XWM,X window manager
XWN,eXtended WordNet
XWS,X Window System
YKK, Yoshida Manufacturing Corporation
YMCA,Young Men's Christian Association
YWCA,Young Women's Christian Association
